1,0,"Alle categorieën"
2,1,"Persoon & Gezondheid"
3,1,"Maatschappij"
4,1,"Financiën & Werk"
5,1,"Vervoer"
6,1,"Computers & Internet"
7,1,"Elektronica"
8,1,"Entertainment & Muziek"
9,1,"Eten & Drinken"
10,1,"Sport, Spel & Recreatie"
11,1,"Huis & Tuin"
12,1,"Wetenschap"
13,1,"Vakantie & Reizen"
14,1,"Kunst & Cultuur"
15,1,"Overig"
16,12,"Biologie"
17,12,"Wiskunde"
18,12,"Natuur- en scheikunde"
19,12,"Psychologie"
20,12,"Sociale wetenschap"
21,12,"Overig"
22,5,"Auto's"
23,5,"Vliegtuigen"
24,5,"Boten"
25,5,"Openbaar vervoer"
26,5,"Motorfietsen"
27,5,"Fietsen"
28,5,"Overig"
29,10,"Spellen"
30,6,"Computergames"
31,10,"Hobby's"
32,10,"Sporten"
33,10,"Overig"
34,13,"Caraïben"
35,13,"Noord-Amerika"
36,13,"Zuid-Amerika"
37,13,"Afrika"
38,13,"Antarctica"
39,13,"Azië"
40,13,"Europa"
41,13,"Midden-Amerika"
42,13,"Midden-Oosten"
43,13,"Oceanië"
44,2,"Overig"
45,13,"Overig"
46,2,"Mode & Accessoires"
47,2,"Familie & Relatie"
48,2,"Gezondheid"
49,2,"Zwangerschap"
50,3,"Onderwijs"
51,3,"Milieu"
52,3,"Politiek & Overheid"
53,3,"Samenleving"
54,3,"Overig"
55,14,"Boeken & Auteurs"
56,14,"Genealogie"
57,14,"Geschiedenis"
58,14,"Filosofie"
59,14,"Poëzie"
60,14,"Beeldende kunst"
61,14,"Overig"
62,11,"Schoonmaken & Wassen"
63,11,"Interieur"
64,11,"Doe-Het-Zelf"
65,11,"Tuin"
66,11,"Huisdieren"
67,11,"Overig"
68,9,"Dranken"
69,9,"Koken & Recepten"
70,9,"Vegetarisch & Veganistisch"
71,9,"Uit eten"
72,9,"Overig"
73,8,"Beroemdheden"
74,8,"Stripboeken & Tekenfilms"
75,8,"Tijdschriften"
76,8,"Horoscoop"
77,8,"Films"
78,8,"Muziek"
79,8,"Radio"
80,8,"Televisie"
81,8,"Overig"
82,7,"Videocamera's"
83,7,"Camera's"
84,7,"Telefoon & Abonnementen"
85,7,"Spelcomputers"
86,7,"Audio"
87,7,"Handhelds & Smartphones"
88,7,"Televisies"
89,7,"Overig"
90,6,"Hardware"
91,6,"Software"
92,6,"Internet"
93,6,"Programmeren & Design"
94,6,"Veiligheid"
95,6,"Overig"
96,4,"Carrière & Werk"
97,4,"Financiën"
98,97,"Huren & Vastgoed"
100,97,"Belasting"
101,4,"Overig"
103,4,"Ondernemers"
104,3,"Religie"
106,5,"Vrachtwagens & Transport"
107,5,"Treinen"
108,12,"Taal"
109,3,"Spiritualiteit"
110,12,"Ruimtevaart & Sterrenkunde"
111,6,"Besturingssystemen"
113,32,"Voetbal"
114,32,"Wielrennen"
115,32,"Tennis"
116,32,"Formule 1"
117,32,"Hockey"
118,32,"Schaatsen"
119,32,"Overig"
120,47,"Vragen aan mannen"
121,47,"Vragen aan vrouwen"
122,1,"GoeieVraag.nl"
123,2,"Ouderschap & Opvoeding"
124,3,"Wetgeving"
125,13,"Wintersport"
126,3,"Feestdagen"
127,126,"Sinterklaas"
128,126,"Kerst"
129,126,"Pasen"
130,126,"Andere feestdagen"
131,2,"Seksualiteit"
132,12,"Aardrijkskunde & Aardwetenschappen"
133,97,"Energie"
134,97,"Verzekeringen"
135,97,"Sparen & Beleggen"
136,97,"Overig"
137,48,"Alternatieve geneeswijzen"
138,48,"Gebit"
139,48,"Psyche"
140,48,"Voeding"
141,48,"Ziekten"
142,48,"Optiek"
143,48,"Lichamelijke klachten"
144,48,"Mannelijk lichaam"
145,48,"Vrouwelijk lichaam"
146,48,"Overig"
147,48,"Kinderen"
148,22,"Reparaties"
149,22,"Banden"
150,5,"Brom- & Snorfietsen"
151,92,"Weblogs"
152,92,"Webshops"
156,12,"Meteorologie"
157,97,"Lenen"
158,97,"Sparen"
159,97,"Hypotheek"
160,12,"Economie"
161,12,"Techniek"
162,12,"Landbouw & Veeteelt"
163,48,"Medicijnen"
164,2,"Huid-, haarverzorging en Make-up"
165,31,"Fotografie"
166,53,"Winkels"
167,11,"Huishoudelijke apparaten"
168,92,"Sociale Media"
